CardID,Name,Colors,CMC,Type,Subtype,Set,Rarity
37,Elvish Spirit Guide,['G'],3,"[""'Creature'""]","[""'Elf'"", ""'Spirit'""]",DMR,Uncommon
38,"Emry, Lurker of the Loch",['U'],3,"[""'Legendary'"", ""'Creature'""]","[""'Merfolk'"", ""'Wizard'""]",ELD,Rare
39,Endurance,['G'],3,"[""'Creature'""]","[""'Elemental'"", ""'Incarnation'""]",PRM,Mythic
40,Entomb,['B'],1,"[""'Instant'""]",,PD3,Rare
41,Exhume,['B'],2,"[""'Sorcery'""]",,PD3,Common
42,Expedition Map,,1,"[""'Artifact'""]",,LCC,Uncommon
43,Exploration,['G'],1,"[""'Enchantment'""]",,DMR,Rare
44,Fable of the Mirror-Breaker,['R'],3,"[""'Enchantment'""]","[""'Saga'""]",PRM,Rare
45,Faithless Looting,['R'],1,"[""'Sorcery'""]",,CMM,Common
46,Fatal Push,['B'],1,"[""'Instant'""]",,PRM,Uncommon
47,Fire // Ice,['R'],4,"[""'Instant'""]",,MH2,Rare
48,Flooded Strand,,0,"[""'Land'""]",,KTK,Rare
49,Force of Negation,['U'],3,"[""'Instant'""]",,PRM,Rare
50,Force of Will,['U'],5,"[""'Instant'""]",,VMA,Rare
51,Forest,,0,"[""'Basic'"", ""'Land'""]","[""'Forest'""]",LCI,Common
52,Fury,['R'],5,"[""'Creature'""]","[""'Elemental'"", ""'Incarnation'""]",PRM,Mythic
53,Gempalm Incinerator,['R'],3,"[""'Creature'""]","[""'Goblin'""]",DMR,Uncommon
54,Generous Ent,['G'],6,"[""'Creature'""]","[""'Treefolk'""]",LTR,Common
55,Ghost Quarter,,0,"[""'Land'""]",,ISD,Uncommon
56,Goblin Lackey,['R'],1,"[""'Creature'""]","[""'Goblin'""]",V09,Mythic
57,Goblin Matron,['R'],3,"[""'Creature'""]","[""'Goblin'""]",DMR,Common
58,Goblin Ringleader,['R'],4,"[""'Creature'""]","[""'Goblin'""]",M20,Uncommon
59,Goblin Warchief,['R'],3,"[""'Creature'""]","[""'Goblin'"", ""'Warrior'""]",DAR,Uncommon
60,Grief,['B'],4,"[""'Creature'""]","[""'Elemental'"", ""'Incarnation'""]",PRM,Mythic
61,Griselbrand,['B'],8,"[""'Legendary'"", ""'Creature'""]","[""'Demon'""]",PRM,Mythic
62,Horizon Canopy,,0,"[""'Land'""]",,FUT,Rare
63,Impulse,['U'],2,"[""'Instant'""]",,DMR,Common
64,Incubation // Incongruity,"['U', 'G']",4,"[""'Sorcery'""]",,RNA,Uncommon
65,Island,,0,"[""'Basic'"", ""'Land'""]","[""'Island'""]",LCI,Common
66,Kappa Cannoneer,['U'],6,"[""'Artifact'"", ""'Creature'""]","[""'Turtle'"", ""'Warrior'""]",PRM,Rare
67,Karakas,,0,"[""'Legendary'"", ""'Land'""]",,TD0,Rare
68,"Leovold, Emissary of Trest","['B', 'G', 'U']",3,"[""'Legendary'"", ""'Creature'""]","[""'Elf'"", ""'Advisor'""]",PZ2,Mythic
69,Life from the Loam,['G'],2,"[""'Sorcery'""]",,MMA,Rare
70,Lightning Bolt,['R'],1,"[""'Instant'""]",,M11,Common
71,Living End,['B'],0,"[""'Sorcery'""]",,TSP,Rare
72,Living Wish,['G'],2,"[""'Sorcery'""]",,A25,Rare
73,Lotus Petal,,0,"[""'Artifact'""]",,TPR,Uncommon
74,Lórien Revealed,['U'],5,"[""'Sorcery'""]",,LTR,Common
75,Malevolent Hermit,['U'],2,"[""'Creature'""]","[""'Human'"", ""'Wizard'""]",MID,Rare
76,Marsh Flats,,0,"[""'Land'""]",,MM3,Rare
77,Maze of Ith,,0,"[""'Land'""]",,EMA,Rare
78,Metallic Rebuke,['U'],3,"[""'Instant'""]",,AER,Common
79,Minor Misstep,['U'],1,"[""'Instant'""]",,ONE,Uncommon
80,"Minsc & Boo, Timeless Heroes","['G', 'R']",4,"[""'Legendary'"", ""'Planeswalker'""]","[""'Minsc'""]",CLB,Mythic
81,Misdirection,['U'],5,"[""'Instant'""]",,PRM,Rare
82,Mishra's Bauble,,0,"[""'Artifact'""]",,IMA,Uncommon
83,Misty Rainforest,,0,"[""'Land'""]",,MH2,Rare
84,Mogg War Marshal,['R'],2,"[""'Creature'""]","[""'Goblin'"", ""'Warrior'""]",DMR,Common
85,Molten Collapse,"['B', 'R']",2,"[""'Sorcery'""]",,LCI,Rare
86,Mountain,,0,"[""'Basic'"", ""'Land'""]","[""'Mountain'""]",LCI,Common
87,Mox Diamond,,0,"[""'Artifact'""]",,TPR,Mythic
88,Mox Opal,,0,"[""'Legendary'"", ""'Artifact'""]",,SOM,Mythic
89,Munitions Expert,"['B', 'R']",2,"[""'Creature'""]","[""'Goblin'""]",MH1,Uncommon
90,Murderous Cut,['B'],5,"[""'Instant'""]",,KTK,Uncommon
91,Murktide Regent,['U'],7,"[""'Creature'""]","[""'Dragon'""]",MH2,Mythic
92,"Muxus, Goblin Grandee",['R'],6,"[""'Legendary'"", ""'Creature'""]","[""'Goblin'"", ""'Noble'""]",JMP,Rare
93,Mystic Sanctuary,,0,"[""'Land'""]","[""'Island'""]",ELD,Common
94,Mystical Dispute,['U'],3,"[""'Instant'""]",,ELD,Uncommon
95,Once Upon a Time,['G'],2,"[""'Instant'""]",,ELD,Rare
96,Orcish Bowmasters,['B'],2,"[""'Creature'""]","[""'Orc'"", ""'Archer'""]",LTR,Rare
97,"Otawara, Soaring City",,0,"[""'Legendary'"", ""'Land'""]",,PRM,Rare
98,Paradigm Shift,['U'],2,"[""'Sorcery'""]",,WL,Rare
99,Patchwork Automaton,,2,"[""'Artifact'"", ""'Creature'""]","[""'Construct'""]",NEO,Uncommon
100,Pernicious Deed,"['B', 'G']",3,"[""'Enchantment'""]",,PRM,Rare
101,Phyrexian Dreadnought,,1,"[""'Artifact'"", ""'Creature'""]","[""'Phyrexian'"", ""'Dreadnought'""]",PRM,Rare
102,Pithing Needle,,1,"[""'Artifact'""]",,RTR,Rare
103,Polluted Delta,,0,"[""'Land'""]",,KTK,Rare
104,Ponder,['U'],1,"[""'Sorcery'""]",,M12,Common
105,Preordain,['U'],1,"[""'Sorcery'""]",,M11,Common
106,Prismatic Ending,['W'],1,"[""'Sorcery'""]",,MH2,Uncommon
107,Prismatic Vista,,0,"[""'Land'""]",,MH1,Rare
108,Questing Druid,['G'],2,"[""'Creature'""]","[""'Human'"", ""'Druid'""]",WOE,Rare
109,Reanimate,['B'],1,"[""'Sorcery'""]",,VMA,Uncommon
110,Riftstone Portal,,0,"[""'Land'""]",,JUD,Uncommon
111,Rishadan Port,,0,"[""'Land'""]",,PRM,Rare
112,"Sai, Master Thopterist",['U'],3,"[""'Legendary'"", ""'Creature'""]","[""'Human'"", ""'Artificer'""]",M19,Rare
113,Sauron's Ransom,"['B', 'U']",3,"[""'Instant'""]",,LTR,Rare
114,Savannah,,0,"[""'Land'""]","[""'Forest'"", ""'Plains'""]",VMA,Rare
115,Scalding Tarn,,0,"[""'Land'""]",,MH2,Rare
116,Scrubland,,0,"[""'Land'""]","[""'Plains'"", ""'Swamp'""]",PRM,Rare
117,Seat of the Synod,,0,"[""'Artifact'"", ""'Land'""]",,MRD,Common
118,Serra's Emissary,['W'],7,"[""'Creature'""]","[""'Angel'""]",MH2,Mythic
119,Shadowspear,,1,"[""'Legendary'"", ""'Artifact'""]","[""'Equipment'""]",THB,Rare
120,Shardless Agent,"['G', 'U']",3,"[""'Artifact'"", ""'Creature'""]","[""'Human'"", ""'Rogue'""]",PRM,Uncommon
121,Sheoldred's Edict,['B'],2,"[""'Instant'""]",,ONE,Uncommon
122,Simian Spirit Guide,['R'],3,"[""'Creature'""]","[""'Ape'"", ""'Spirit'""]",PLC,Common
123,Skirk Prospector,['R'],1,"[""'Creature'""]","[""'Goblin'""]",DMR,Common
124,Sling-Gang Lieutenant,['B'],4,"[""'Creature'""]","[""'Goblin'""]",MH1,Uncommon
125,Slip Out the Back,['U'],1,"[""'Instant'""]",,SNC,Uncommon
126,Snow-Covered Forest,,0,"[""'Basic'"", ""'Snow'"", ""'Land'""]","[""'Forest'""]",KHM,Common
127,Snow-Covered Island,,0,"[""'Basic'"", ""'Snow'"", ""'Land'""]","[""'Island'""]",KHM,Common
128,Snow-Covered Swamp,,0,"[""'Basic'"", ""'Snow'"", ""'Land'""]","[""'Swamp'""]",KHM,Common
129,Snuff Out,['B'],4,"[""'Instant'""]",,DDD,Common
130,Soul-Guide Lantern,,1,"[""'Artifact'""]",,WOE,Uncommon
131,Spell Pierce,['U'],1,"[""'Instant'""]",,2X2,Common
132,Spell Snare,['U'],1,"[""'Instant'""]",,DIS,Uncommon
133,Spellseeker,['U'],3,"[""'Creature'""]","[""'Human'"", ""'Wizard'""]",CMM,Mythic
134,Sphere of Resistance,,2,"[""'Artifact'""]",,VMA,Rare
135,Step Through,['U'],5,"[""'Sorcery'""]",,MH2,Common
136,Stifle,['U'],1,"[""'Instant'""]",,SCG,Rare
137,Stingscourger,['R'],2,"[""'Creature'""]","[""'Goblin'"", ""'Warrior'""]",TSR,Common
138,Street Wraith,['B'],5,"[""'Creature'""]","[""'Wraith'""]",DMR,Common
139,Strict Proctor,['W'],2,"[""'Creature'""]","[""'Spirit'"", ""'Cleric'""]",STX,Rare
140,Swamp,,0,"[""'Basic'"", ""'Land'""]","[""'Swamp'""]",LCI,Common
141,Swords to Plowshares,['W'],1,"[""'Instant'""]",,DMR,Uncommon
142,Sylvan Library,['G'],2,"[""'Enchantment'""]",,PZ1,Rare
143,Taiga,,0,"[""'Land'""]","[""'Mountain'"", ""'Forest'""]",VMA,Rare
144,Thassa's Oracle,['U'],2,"[""'Creature'""]","[""'Merfolk'"", ""'Wizard'""]",THB,Rare
145,The One Ring,,4,"[""'Legendary'"", ""'Artifact'""]",,LTR,Mythic
146,The Tabernacle at Pendrell Vale,,0,"[""'Legendary'"", ""'Land'""]",,PRM,Rare
147,Thespian's Stage,,0,"[""'Land'""]",,GTC,Rare
148,Thought Lash,['U'],4,"[""'Enchantment'""]",,ME2,Rare
149,Thought Monitor,['U'],7,"[""'Artifact'"", ""'Creature'""]","[""'Construct'""]",MH2,Rare
150,Thoughtcast,['U'],5,"[""'Sorcery'""]",,MRD,Common
151,Thoughtseize,['B'],1,"[""'Sorcery'""]",,THS,Rare
152,Torpor Orb,,2,"[""'Artifact'""]",,NPH,Rare
153,Trinisphere,,3,"[""'Artifact'""]",,DST,Rare
154,Troll of Khazad-dûm,['B'],6,"[""'Creature'""]","[""'Troll'""]",LTR,Common
155,Tropical Island,,0,"[""'Land'""]","[""'Forest'"", ""'Island'""]",PRM,Rare
156,Tundra,,0,"[""'Land'""]","[""'Plains'"", ""'Island'""]",VMA,Rare
157,Underground Sea,,0,"[""'Land'""]","[""'Island'"", ""'Swamp'""]",VMA,Rare
158,Undermountain Adventurer,['G'],4,"[""'Creature'""]","[""'Giant'"", ""'Warrior'""]",CLB,Rare
159,Unholy Heat,['R'],1,"[""'Instant'""]",,MH2,Common
160,Unmask,['B'],4,"[""'Sorcery'""]",,MM,Rare
161,Up the Beanstalk,['G'],2,"[""'Enchantment'""]",,WOE,Uncommon
162,"Uro, Titan of Nature's Wrath","['G', 'U']",3,"[""'Legendary'"", ""'Creature'""]","[""'Elder'"", ""'Giant'""]",SLD,Mythic
163,Urza's Bauble,,0,"[""'Artifact'""]",,MED,Uncommon
164,Urza's Saga,,0,"[""'Enchantment'"", ""'Land'""]","[""'Urza's'"", ""'Saga'""]",MH2,Rare
165,Verdant Catacombs,,0,"[""'Land'""]",,ZEN,Rare
166,Violent Outburst,"['G', 'R']",3,"[""'Instant'""]",,ARB,Common
167,Volcanic Island,,0,"[""'Land'""]","[""'Island'"", ""'Mountain'""]",PRM,Rare
168,Wail of the Forgotten,"['B', 'U']",2,"[""'Sorcery'""]",,LCI,Rare
169,Wasteland,,0,"[""'Land'""]",,TE,Uncommon
170,Windswept Heath,,0,"[""'Land'""]",,KTK,Rare
171,Witherbloom Command,"['B', 'G']",2,"[""'Sorcery'""]",,STX,Rare
172,Wooded Foothills,,0,"[""'Land'""]",,KTK,Rare
173,"Yavimaya, Cradle of Growth",,0,"[""'Legendary'"", ""'Land'""]",,MH2,Rare
174,_____ Goblin,['R'],3,"[""'Creature'""]","[""'Goblin'"", ""'Guest'""]",UNF,Common
175,Agatha's Soul Cauldron,,2,"[""'Legendary'"", ""'Artifact'""]",,WOE,Mythic
176,Ancient Stirrings,['G'],1,"[""'Sorcery'""]",,PRM,Common
177,Animation Module,,1,"[""'Artifact'""]",,KLD,Rare
178,Arcbound Ravager,,2,"[""'Artifact'"", ""'Creature'""]","[""'Beast'""]",PRM,Rare
179,Arid Mesa,,0,"[""'Land'""]",,ZEN,Rare
180,Aspect of Hydra,['G'],1,"[""'Instant'""]",,BNG,Common
181,Blackcleave Cliffs,,0,"[""'Land'""]",,ONE,Rare
182,Blood Artist,['B'],2,"[""'Creature'""]","[""'Vampire'""]",2X2,Uncommon
183,Blood Crypt,,0,"[""'Land'""]","[""'Swamp'"", ""'Mountain'""]",RTR,Rare
184,Blooming Marsh,,0,"[""'Land'""]",,KLD,Rare
185,Bonecrusher Giant,['R'],3,"[""'Creature'""]","[""'Giant'""]",ELD,Rare
186,Breeding Pool,,0,"[""'Land'""]","[""'Forest'"", ""'Island'""]",GTC,Rare
187,Castle Locthwain,,0,"[""'Land'""]",,ELD,Rare
188,Castle Vantress,,0,"[""'Land'""]",,ELD,Rare
189,Chord of Calling,['G'],3,"[""'Instant'""]",,RAV,Rare
190,Counterspell,['U'],2,"[""'Instant'""]",,CMM,Common
191,Cragcrown Pathway,,0,"[""'Land'""]",,ZNR,Rare
192,Curator of Mysteries,['U'],4,"[""'Creature'""]","[""'Sphinx'""]",AKH,Rare
193,Dauthi Voidwalker,['B'],2,"[""'Creature'""]","[""'Dauthi'"", ""'Rogue'""]",MH2,Rare
194,Dead // Gone,['R'],4,"[""'Instant'""]",,PLC,Common
195,Delighted Halfling,['G'],1,"[""'Creature'""]","[""'Halfling'"", ""'Citizen'""]",LTR,Rare
196,Deputy of Detention,"['U', 'W']",3,"[""'Creature'""]","[""'Vedalken'"", ""'Wizard'""]",RNA,Rare
197,Dismember,['B'],3,"[""'Instant'""]",,MM2,Uncommon
198,Dryad Arbor,['G'],0,"[""'Land'"", ""'Creature'""]","[""'Forest'"", ""'Dryad'""]",FUT,Uncommon
199,Dwarven Mine,,0,"[""'Land'""]","[""'Mountain'""]",ELD,Common
200,Eagles of the North,['W'],6,"[""'Creature'""]","[""'Bird'"", ""'Soldier'""]",LTR,Common
201,Echoing Deeps,,0,"[""'Land'""]","[""'Cave'""]",LCI,Rare
202,Eldritch Evolution,['G'],3,"[""'Sorcery'""]",,EMN,Rare
203,Ephemerate,['W'],1,"[""'Instant'""]",,MH1,Common
204,Expressive Iteration,"['R', 'U']",2,"[""'Sorcery'""]",,STX,Uncommon
205,Flame of Anor,"['R', 'U']",3,"[""'Instant'""]",,LTR,Rare
206,Fulminator Mage,"['B', 'R']",3,"[""'Creature'""]","[""'Elemental'"", ""'Shaman'""]",SHM,Rare
207,Gemstone Caverns,,0,"[""'Legendary'"", ""'Land'""]",,TSP,Rare
208,Gilded Goose,['G'],1,"[""'Creature'""]","[""'Bird'""]",ELD,Rare
209,"Grist, the Hunger Tide","['B', 'G']",3,"[""'Legendary'"", ""'Planeswalker'""]","[""'Grist'""]",PRM,Mythic
210,Hall of Storm Giants,,0,"[""'Land'""]",,AFR,Rare
211,Hallowed Fountain,,0,"[""'Land'""]","[""'Plains'"", ""'Island'""]",RTR,Rare
212,Hangarback Walker,,0,"[""'Artifact'"", ""'Creature'""]","[""'Construct'""]",ORI,Rare
213,"Hapatra, Vizier of Poisons","['B', 'G']",2,"[""'Legendary'"", ""'Creature'""]","[""'Human'"", ""'Cleric'""]",AKH,Rare
214,Hardened Scales,['G'],1,"[""'Enchantment'""]",,WOT,Rare
215,Haywire Mite,,1,"[""'Artifact'"", ""'Creature'""]","[""'Insect'""]",BRO,Uncommon
216,"Heliod, Sun-Crowned",['W'],3,"[""'Legendary'"", ""'Enchantment'"", ""'Creature'""]","[""'God'""]",THB,Mythic
217,Idyllic Grange,,0,"[""'Land'""]","[""'Plains'""]",ELD,Common
218,Ignoble Hierarch,['G'],1,"[""'Creature'""]","[""'Goblin'"", ""'Shaman'""]",MH2,Rare
219,Indatha Triome,,0,"[""'Land'""]","[""'Plains'"", ""'Swamp'"", ""'Forest'""]",IKO,Rare
220,Indomitable Creativity,['R'],3,"[""'Sorcery'""]",,AER,Mythic
221,Inkmoth Nexus,,0,"[""'Land'""]",,MBS,Rare
222,Inscription of Abundance,['G'],2,"[""'Instant'""]",,ZNR,Rare
223,Jetmir's Garden,,0,"[""'Land'""]","[""'Mountain'"", ""'Forest'"", ""'Plains'""]",SNC,Rare
224,Ketria Triome,,0,"[""'Land'""]","[""'Forest'"", ""'Island'"", ""'Mountain'""]",IKO,Rare
225,Khalni Garden,,0,"[""'Land'""]",,WWK,Common
226,Kolaghan's Command,"['B', 'R']",3,"[""'Instant'""]",,DTK,Rare
227,"Kroxa, Titan of Death's Hunger","['B', 'R']",2,"[""'Legendary'"", ""'Creature'""]","[""'Elder'"", ""'Giant'""]",SLD,Mythic
228,Lair of the Hydra,,0,"[""'Land'""]",,AFR,Rare
229,Ledger Shredder,['U'],2,"[""'Creature'""]","[""'Bird'"", ""'Advisor'""]",PRM,Rare
230,Legion's End,['B'],2,"[""'Sorcery'""]",,M20,Rare
231,Leyline Binding,['W'],6,"[""'Enchantment'""]",,PRM,Rare
232,Logic Knot,['U'],2,"[""'Instant'""]",,TSR,Common
233,Magus of the Moon,['R'],3,"[""'Creature'""]","[""'Human'"", ""'Wizard'""]",TSR,Rare
234,"Minamo, School at Water's Edge",,0,"[""'Legendary'"", ""'Land'""]",,CHK,Rare
235,Mount Doom,,0,"[""'Legendary'"", ""'Land'""]",,LTR,Mythic
236,Mutavault,,0,"[""'Land'""]",,M14,Rare
237,Mystic Gate,,0,"[""'Land'""]",,SHM,Rare
238,"Nissa, Resurgent Animist",['G'],3,"[""'Legendary'"", ""'Creature'""]","[""'Elf'"", ""'Scout'""]",MAT,Mythic
239,Noble Hierarch,['G'],1,"[""'Creature'""]","[""'Human'"", ""'Druid'""]",CON,Rare
240,Not Dead After All,['B'],1,"[""'Instant'""]",,WOE,Common
241,Nurturing Peatland,,0,"[""'Land'""]",,MH1,Rare
242,Old-Growth Troll,['G'],3,"[""'Creature'""]","[""'Troll'"", ""'Warrior'""]",KHM,Rare
243,Oliphaunt,['R'],6,"[""'Creature'""]","[""'Elephant'""]",LTR,Common
244,"Omnath, Locus of Creation","['G', 'R', 'U', 'W']",4,"[""'Legendary'"", ""'Creature'""]","[""'Elemental'""]",ZNR,Mythic
245,Overgrown Tomb,,0,"[""'Land'""]","[""'Swamp'"", ""'Forest'""]",GRN,Rare
246,Pendelhaven,,0,"[""'Legendary'"", ""'Land'""]",,TSB,Rare
247,Plains,,0,"[""'Basic'"", ""'Land'""]","[""'Plains'""]",LCI,Common
248,Questing Beast,['G'],4,"[""'Legendary'"", ""'Creature'""]","[""'Beast'""]",ELD,Mythic
249,"Ragavan, Nimble Pilferer",['R'],1,"[""'Legendary'"", ""'Creature'""]","[""'Monkey'"", ""'Pirate'""]",PRM,Mythic
250,Ranger-Captain of Eos,['W'],3,"[""'Creature'""]","[""'Human'"", ""'Soldier'"", ""'Ranger'""]",MH1,Mythic
251,Raugrin Triome,,0,"[""'Land'""]","[""'Island'"", ""'Mountain'"", ""'Plains'""]",IKO,Rare
252,Reprieve,['W'],2,"[""'Instant'""]",,LTR,Uncommon
253,Rhonas the Indomitable,['G'],3,"[""'Legendary'"", ""'Creature'""]","[""'God'""]",AKH,Mythic
254,Sacred Foundry,,0,"[""'Land'""]","[""'Mountain'"", ""'Plains'""]",GTC,Rare
255,Savai Triome,,0,"[""'Land'""]","[""'Mountain'"", ""'Plains'"", ""'Swamp'""]",IKO,Rare
256,Scavenging Ooze,['G'],2,"[""'Creature'""]","[""'Ooze'""]",M21,Rare
257,"Sheoldred, the Apocalypse",['B'],4,"[""'Legendary'"", ""'Creature'""]","[""'Phyrexian'"", ""'Praetor'""]",DMU,Mythic
258,Silence,['W'],1,"[""'Instant'""]",,M11,Rare
259,Snow-Covered Plains,,0,"[""'Basic'"", ""'Snow'"", ""'Land'""]","[""'Plains'""]",KHM,Common
260,Solitude,['W'],5,"[""'Creature'""]","[""'Elemental'"", ""'Incarnation'""]",PRM,Mythic
261,Spirebluff Canal,,0,"[""'Land'""]",,KLD,Rare
262,Springleaf Drum,,1,"[""'Artifact'""]",,BRR,Uncommon
263,Steam Vents,,0,"[""'Land'""]","[""'Island'"", ""'Mountain'""]",RTR,Rare
264,Steel Leaf Champion,['G'],3,"[""'Creature'""]","[""'Elf'"", ""'Knight'""]",DAR,Rare
265,Stern Scolding,['U'],1,"[""'Instant'""]",,LTR,Uncommon
266,Stomping Ground,,0,"[""'Land'""]","[""'Mountain'"", ""'Forest'""]",RNA,Rare
267,Strangleroot Geist,['G'],2,"[""'Creature'""]","[""'Spirit'""]",PRM,Uncommon
268,Striped Riverwinder,['U'],7,"[""'Creature'""]","[""'Serpent'""]",HOU,Common
269,Subtlety,['U'],4,"[""'Creature'""]","[""'Elemental'"", ""'Incarnation'""]",MH2,Mythic
270,Supreme Verdict,"['U', 'W']",4,"[""'Sorcery'""]",,RTR,Rare
271,"Takenuma, Abandoned Mire",,0,"[""'Legendary'"", ""'Land'""]",,NEO,Rare
272,"Teferi, Time Raveler","['U', 'W']",3,"[""'Legendary'"", ""'Planeswalker'""]","[""'Teferi'""]",RVR,Mythic
273,Temple Garden,,0,"[""'Land'""]","[""'Forest'"", ""'Plains'""]",GRN,Rare
274,Terminate,"['B', 'R']",2,"[""'Instant'""]",,PRM,Common
275,The Ozolith,,1,"[""'Legendary'"", ""'Artifact'""]",,IKO,Rare
276,Thraben Inspector,['W'],1,"[""'Creature'""]","[""'Human'"", ""'Soldier'""]",SOI,Common
277,Tishana's Tidebinder,['U'],3,"[""'Creature'""]","[""'Merfolk'"", ""'Wizard'""]",LCI,Rare
278,Transmogrify,['R'],4,"[""'Sorcery'""]",,M21,Rare
279,Twilight Mire,,0,"[""'Land'""]",,EXP,Mythic
280,Undying Evil,['B'],1,"[""'Instant'""]",,DKA,Common
281,"Urborg, Tomb of Yawgmoth",,0,"[""'Legendary'"", ""'Land'""]",,PLC,Rare
282,Vines of Vastwood,['G'],1,"[""'Instant'""]",,ZEN,Common
283,Waker of Waves,['U'],7,"[""'Creature'""]","[""'Whale'""]",M21,Uncommon
284,Walking Ballista,,0,"[""'Artifact'"", ""'Creature'""]","[""'Construct'""]",AER,Rare
285,Wall of Omens,['W'],2,"[""'Creature'""]","[""'Wall'""]",2X2,Uncommon
286,Wall of Roots,['G'],2,"[""'Creature'""]","[""'Plant'"", ""'Wall'""]",TSB,Rare
287,Watery Grave,,0,"[""'Land'""]","[""'Island'"", ""'Swamp'""]",GRN,Rare
288,Welding Jar,,0,"[""'Artifact'""]",,MRD,Common
289,Wrenn and Six,"['G', 'R']",2,"[""'Legendary'"", ""'Planeswalker'""]","[""'Wrenn'""]",PRM,Mythic
290,Xander's Lounge,,0,"[""'Land'""]","[""'Island'"", ""'Swamp'"", ""'Mountain'""]",SNC,Rare
291,"Yawgmoth, Thran Physician",['B'],4,"[""'Legendary'"", ""'Creature'""]","[""'Human'"", ""'Cleric'""]",DMR,Mythic
292,Young Wolf,['G'],1,"[""'Creature'""]","[""'Wolf'""]",DKA,Common
293,"Zabaz, the Glimmerwasp",,1,"[""'Legendary'"", ""'Artifact'"", ""'Creature'""]","[""'Insect'""]",MH2,Rare
294,Zagoth Triome,,0,"[""'Land'""]","[""'Swamp'"", ""'Forest'"", ""'Island'""]",IKO,Rare
295,Zulaport Cutthroat,['B'],2,"[""'Creature'""]","[""'Human'"", ""'Rogue'"", ""'Ally'""]",BFZ,Uncommon
296,Abundant Growth,['G'],1,"[""'Enchantment'""]","[""'Aura'""]",AVR,Common
297,Agony Warp,"['B', 'U']",2,"[""'Instant'""]",,2X2,Common
298,All That Glitters,['W'],2,"[""'Enchantment'""]","[""'Aura'""]",ELD,Uncommon
299,Ancestral Mask,['G'],3,"[""'Enchantment'""]","[""'Aura'""]",MM,Common
300,Ancient Den,,0,"[""'Artifact'"", ""'Land'""]",,MRD,Common
