event id,card name,copies
3,"Uro, Titan of Nature's Wrath",6
3,Urza's Bauble,8
3,Urza's Saga,12
3,Verdant Catacombs,4
3,Violent Outburst,4
3,Volcanic Island,12
3,Wail of the Forgotten,8
3,Wasteland,43
3,Windswept Heath,2
3,Witherbloom Command,6
3,Wooded Foothills,6
3,"Yavimaya, Cradle of Growth",2
3,_____ Goblin,3
4,Agatha's Soul Cauldron,22
4,Ancient Stirrings,4
4,Animation Module,1
4,Arcbound Ravager,4
4,Architects of Will,4
4,Archon of Cruelty,9
4,Arid Mesa,15
4,Aspect of Hydra,4
4,Blackcleave Cliffs,13
4,Blood Artist,3
4,Blood Crypt,16
4,Bloodstained Mire,16
4,Blooming Marsh,18
4,Bonecrusher Giant,3
4,"Boseiju, Who Endures",21
4,Breeding Pool,8
4,Castle Locthwain,2
4,Castle Vantress,1
4,Chord of Calling,20
4,Counterspell,16
4,Cragcrown Pathway,4
4,Crashing Footfalls,16
4,Curator of Mysteries,4
4,Dauthi Voidwalker,16
4,Dead // Gone,15
4,Delighted Halfling,24
4,Deputy of Detention,1
4,Dismember,3
4,Dragon's Rage Channeler,11
4,Dress Down,2
4,Dryad Arbor,4
4,Dwarven Mine,12
4,Eagles of the North,3
4,Echoing Deeps,2
4,Eldritch Evolution,5
4,Endurance,2
4,Ephemerate,4
4,Expressive Iteration,13
4,Fable of the Mirror-Breaker,30
4,Fatal Push,5
4,Fire // Ice,16
4,Flame of Anor,5
4,Flooded Strand,16
4,Force of Negation,20
4,Forest,35
4,Fulminator Mage,1
4,Gemstone Caverns,7
4,Generous Ent,3
4,Gilded Goose,4
4,Grief,20
4,"Grist, the Hunger Tide",20
4,Hall of Storm Giants,1
4,Hallowed Fountain,2
4,Hangarback Walker,3
4,"Hapatra, Vizier of Poisons",5
4,Hardened Scales,4
4,Haywire Mite,2
4,"Heliod, Sun-Crowned",4
4,Idyllic Grange,4
4,Ignoble Hierarch,9
4,Indatha Triome,1
4,Indomitable Creativity,12
4,Inkmoth Nexus,4
4,Inscription of Abundance,3
4,Island,21
4,Jetmir's Garden,3
4,Ketria Triome,5
4,Khalni Garden,3
4,Kolaghan's Command,2
4,"Kroxa, Titan of Death's Hunger",2
4,Lair of the Hydra,2
4,Ledger Shredder,5
4,Legion's End,1
4,Leyline Binding,20
4,Lightning Bolt,33
4,Living End,3
4,Logic Knot,1
4,Lórien Revealed,18
4,Magus of the Moon,1
4,Marsh Flats,13
4,"Minamo, School at Water's Edge",1
4,Mishra's Bauble,12
4,Misty Rainforest,35
4,Molten Collapse,5
4,Mount Doom,2
4,Mountain,6
4,Murktide Regent,14
4,Mutavault,5
4,Mystic Gate,3
4,Mystical Dispute,2
4,"Nissa, Resurgent Animist",1
4,Noble Hierarch,4
4,Not Dead After All,16
4,Nurturing Peatland,6
4,Old-Growth Troll,4
4,Oliphaunt,1
4,"Omnath, Locus of Creation",5
4,Orcish Bowmasters,36
4,"Otawara, Soaring City",11
4,Overgrown Tomb,12
4,Patchwork Automaton,4
4,Pendelhaven,5
4,Pithing Needle,1
4,Plains,3
4,Polluted Delta,8
4,Preordain,16
4,Prismatic Ending,10
4,Questing Beast,3
4,Questing Druid,3
4,"Ragavan, Nimble Pilferer",28
4,Ranger-Captain of Eos,4
4,Raugrin Triome,2
4,Reprieve,9
4,Rhonas the Indomitable,2
4,Sacred Foundry,4
4,Savai Triome,3
4,Scalding Tarn,19
4,Scavenging Ooze,3
4,Shardless Agent,20
4,"Sheoldred, the Apocalypse",11
4,Silence,3
4,Snow-Covered Plains,5
4,Snow-Covered Swamp,3
4,Solitude,12
4,Spell Pierce,15
4,Spell Snare,1
4,Spirebluff Canal,12
4,Springleaf Drum,1
4,Steam Vents,21
4,Steel Leaf Champion,4
4,Stern Scolding,8
4,Stomping Ground,9
4,Strangleroot Geist,7
4,Street Wraith,4
4,Striped Riverwinder,2
4,Subtlety,22
4,Supreme Verdict,3
4,Swamp,14
4,"Takenuma, Abandoned Mire",9
4,"Teferi, Time Raveler",16
4,Temple Garden,3
4,Terminate,6
4,The One Ring,8
4,The Ozolith,1
4,Thoughtseize,16
4,Thraben Inspector,4
4,Tishana's Tidebinder,15
4,Transmogrify,3
4,Troll of Khazad-dûm,2
4,Twilight Mire,9
4,Undying Evil,4
4,Unholy Heat,12
4,"Urborg, Tomb of Yawgmoth",1
4,Urza's Saga,4
4,Verdant Catacombs,29
4,Vines of Vastwood,4
4,Violent Outburst,20
4,Waker of Waves,3
4,Walking Ballista,10
4,Wall of Omens,4
4,Wall of Roots,20
4,Watery Grave,1
4,Welding Jar,3
4,Windswept Heath,8
4,Wooded Foothills,23
4,Wrenn and Six,16
4,Xander's Lounge,3
4,"Yavimaya, Cradle of Growth",1
4,"Yawgmoth, Thran Physician",20
4,Young Wolf,20
4,"Zabaz, the Glimmerwasp",4
4,Zagoth Triome,1
4,Zulaport Cutthroat,2
5,Abundant Growth,4
5,Agony Warp,2
5,All That Glitters,4
5,Ancestral Mask,3
5,Ancient Den,2
5,Armadillo Cloak,4
5,Ash Barrens,1
5,Augur of Bolas,8
5,Aviary Mechanic,2
5,Behold the Multiverse,4
5,Bojuka Bog,3
5,Brainstorm,7
5,Breath Weapon,4
5,Cartouche of Solidarity,3
5,Cast Down,5
5,Chain Lightning,8
5,Chainer's Edict,1
5,Contaminated Aquifer,8
5,Counterspell,8
5,Dawnbringer Cleric,1
5,Desert,2
5,Diabolic Edict,1
5,Dimir Aqueduct,2
5,Dispel,1
5,Dwarven Forge-Chanter,3
5,Echoing Decay,2
5,End the Festivities,2
5,Ethereal Armor,4
5,Eureka Moment,3
5,Experimental Synthesizer,24
5,Faerie Seer,3
5,Fireblast,1
5,Forest,13
5,Forgotten Cave,1
5,Galvanic Blast,24
5,Gladecover Scout,4
5,Glint Hawk,4
5,Goblin Blast-Runner,8
5,Goblin Bushwhacker,16
5,Goblin Tomb Raider,20
5,Great Furnace,20
5,Growth Spiral,4
5,Gurmag Angler,1
5,Ichor Wellspring,2
5,Implement of Combustion,20
5,Island,23
5,Journey to Nowhere,3
5,Kessig Flamebreather,6
5,Khalni Garden,3
5,Kor Skyfisher,4
5,Kuldotha Rebirth,22
5,Lava Dart,6
5,Lembas,3
5,Lightning Bolt,21
5,Lórien Revealed,12
5,Maestros Theater,2
5,Makeshift Munitions,3
5,Molten Tributary,1
5,Moment's Peace,4
5,Mountain,76
5,Murmuring Mystic,2
5,Mystical Teachings,1
5,Ninja of the Deep Hours,3
5,Pieces of the Puzzle,3
5,Plains,10
5,Ponder,4
5,Preordain,7
5,Rancor,4
5,Reckless Impulse,6
5,Relic of Progenitus,1
5,Rugged Highlands,1
5,Seal of Fire,8
5,Searing Blaze,3
5,Secluded Steppe,1
5,Silhana Ledgewalker,4
5,Simic Growth Chamber,4
5,Slippery Bogle,4
5,Snuff Out,8
5,Spellstutter Sprite,4
5,Stream of Thought,3
5,Suffocating Fumes,2
5,Swamp,2
5,Swiftwater Cliffs,2
5,Tangle,2
5,Tangled Islet,1
5,Thorn of the Black Rose,4
5,Thornwood Falls,3
5,Thraben Inspector,4
5,Tolarian Terror,4
5,Unexpected Fangs,1
5,Utopia Sprawl,4
5,Voldaren Epicure,20
5,Weather the Storm,4
5,Wind-Scarred Crag,4
5,Wrenn's Resolve,6
6,Absorb,4
6,Agent of Treachery,1
6,Ancestral Anger,4
6,Archfiend of the Dross,1
6,Archon of Sun's Grace,1
6,Arclight Phoenix,4
6,Ascendant Spirit,4
6,"Atraxa, Grand Unifier",1
6,Bala Ged Recovery,3
6,Battlefield Forge,4
6,Bitter Triumph,1
6,Blackcleave Cliffs,5
6,Blightstep Pathway,8
6,Blood Crypt,8
6,Bloodtithe Harvester,8
6,Bonecrusher Giant,5
6,"Boseiju, Who Endures",3
6,Brazen Borrower,2
6,Castle Ardenvale,2
6,Castle Embereth,1
6,Castle Locthwain,2
6,Castle Vantress,2
6,Chained to the Rocks,4
6,"Chandra, Dressed to Kill",2
6,"Chandra, Hope's Beacon",2
6,Change the Equation,3
6,Consider,4
6,Conspiracy Theorist,4
6,Curious Obsession,4
6,Dark Petition,2
6,Defiant Strike,4
6,Den of the Bugbear,6
6,Deputy of Detention,1
6,Deserted Beach,8
6,Dovin's Veto,7
6,Dreadhorde Arcanist,2
6,Duress,4
6,"Eiganjo, Seat of the Empire",3
6,"Elesh Norn, Mother of Machines",1
6,Emergent Ultimatum,3
6,End the Festivities,2
6,Enigmatic Incarnation,4
6,Fable of the Mirror-Breaker,12
6,Faceless Haven,3
6,Farewell,2
6,Fatal Push,6
6,Favored Hoplite,4
6,Field of Ruin,7
6,Fiery Impulse,4
6,Fires of Invention,4
6,Furnace Punisher,4
6,Galvanic Iteration,1
6,Geistlight Snare,4
6,Get Lost,5
6,Glacial Fortress,3
6,Glasspool Mimic,1
6,Go Blank,1
6,Go for the Throat,1
6,Gods Willing,4
6,Graveyard Trespasser,3
6,Hall of Storm Giants,5
6,Hallowed Fountain,8
6,Hallowed Moonlight,1
6,Hanged Executioner,1
6,Haunted Ridge,4
6,Hengegate Pathway,6
6,Hidden Strings,4
6,Hive of the Eye Tyrant,2
6,Homestead Courage,2
6,Icon of Ancestry,1
6,Illuminator Virtuoso,4
6,Impulse,4
6,Inspiring Vantage,4
6,"Inti, Seneschal of the Sun",6
6,Irrigated Farmland,3
6,Island,10
6,Izzet Charm,1
6,Jetmir's Garden,4
6,Jwari Disruption,5
6,"Kenrith, the Returned King",1
6,Ketria Triome,2
6,Knight of Autumn,1
6,"Kroxa, Titan of Death's Hunger",5
6,Kumano Faces Kakkazan,4
6,Kutzil's Flanker,1
6,Ledger Shredder,4
6,Leyline Binding,4
6,"Lier, Disciple of the Drowned",1
6,Light Up the Stage,4
6,Lightning Axe,4
6,Liliana of the Veil,4
6,Lotus Field,4
6,Make Disappear,6
6,Mana Confluence,4
6,March of Otherworldly Light,5
6,Mausoleum Wanderer,4
6,Memory Deluge,7
6,Monastery Swiftspear,8
6,Monstrous Rage,8
6,Mountain,16
6,Needleverge Pathway,4
6,Nylea's Presence,4
6,Omen of the Sea,4
6,Omniscience,1
6,Opt,4
6,"Otawara, Soaring City",7
6,Path to the World Tree,4
6,Phoenix Chick,4
6,Picklock Prankster,4
6,Plains,6
6,Play with Fire,4
6,Pore Over the Pages,4
6,Portable Hole,4
6,Power Word Kill,1
6,Prismari Command,1
6,Quick Study,1
6,Rampaging Ferocidon,2
6,Ramunap Ruins,4
6,Rattlechains,4
6,Reckless Rage,4
6,Reckoner Bankbuster,2
6,Restless Anchorage,4
6,Riverglide Pathway,4
6,Rootbound Crag,4
6,Sacred Foundry,8
6,Sea Gate Restoration,1
6,Seachrome Coast,2
6,Sejiri Shelter,1
6,Shacklegeist,4
6,Shark Typhoon,5
6,"Sheoldred, the Apocalypse",6
6,Shore Up,1
6,Skyclave Apparition,1
6,Sleight of Hand,4
6,Snow-Covered Island,18
6,"Sokenzan, Crucible of Defiance",3
6,Soul-Scar Mage,4
6,Spara's Headquarters,8
6,Spectral Sailor,4
6,Spell Pierce,3
6,Spikefield Hazard,1
6,Spirebluff Canal,4
6,Steam Vents,8
6,Stormcarved Coast,1
6,Strict Proctor,4
6,Sulfurous Springs,5
6,Sunfall,1
6,Sunken Citadel,1
6,Supreme Phantom,4
6,Supreme Verdict,6
6,Swamp,4
6,Sylvan Scrying,4
6,"Takenuma, Abandoned Mire",2
6,"Teferi, Hero of Dominaria",5
6,Temple Garden,4
6,Temporal Trespass,1
6,Temporary Lockdown,7
6,Tenth District Legionnaire,4
6,The Wandering Emperor,7
6,Thespian's Stage,3
6,Thoughtseize,8
6,"Tolsimir, Friend to Wolves",1
6,Treasure Cruise,4
6,Up the Beanstalk,4
6,"Urborg, Tomb of Yawgmoth",1
6,Vizier of Tumbling Sands,4
7,"Aclazotz, Deepest Betrayal",1
7,Adarkar Wastes,2
7,Ambitious Farmhand,4
7,Annex Sentry,2
7,Anoint with Affliction,5
7,Big Score,4
7,Blackcleave Cliffs,4
7,Bloodthirsty Adversary,4
7,"Boseiju, Who Endures",1
7,Breach the Multiverse,4
7,Bring the Ending,3
7,Brotherhood's End,3
7,Burn Down the House,2
7,Cavern of Souls,3
7,"Chandra, Hope's Beacon",2
7,Charge of the Mites,3
7,Charming Scoundrel,3
7,Crawling Chorus,4
7,Cut Down,4
7,Deathcap Glade,4
7,Deep-Cavern Bat,4
7,"Eiganjo, Seat of the Empire",1
7,"Etali, Primal Conqueror",3
7,Fading Hope,3
7,"Feldon, Ronom Excavator",2
7,Field of Ruin,8
7,Forest,4
7,Get Lost,2
7,Gix's Command,1
7,"Gix, Yawgmoth Praetor",1
7,Glissa Sunslayer,2
7,Go for the Throat,6
7,"Goddric, Cloaked Reveler",3
7,Haunted Ridge,4
7,Island,1
7,Jawbone Duelist,3
7,Kumano Faces Kakkazan,4
7,Lay Down Arms,4
7,Lightning Strike,4
7,Liliana of the Veil,2
7,Llanowar Wastes,4
7,March of Swirling Mist,4
7,Mirrex,3
7,Mishra's Foundry,5
7,Monastery Swiftspear,2
7,Mosswood Dreadknight,4
7,Mountain,21
7,"Nissa, Ascended Animist",1
7,Obscura Storefront,4
7,Ossification,1
7,"Otawara, Soaring City",1
7,Phoenix Chick,3
7,Plains,11
7,Play with Fire,4
7,Preacher of the Schism,2
7,Raffine's Tower,4
7,Razorverge Thicket,3
7,Restless Cottage,4
7,Restless Vents,3
7,Sanctuary Warden,1
7,Seachrome Coast,4
7,Sentinel of the Nameless City,4
7,Serra Paragon,3
7,Serum Snare,4
7,"Sheoldred, the Apocalypse",3
7,Skrelv's Hive,4
7,"Skrelv, Defector Mite",4
7,"Sokenzan, Crucible of Defiance",3
7,Sorin the Mirthless,1
7,"Squee, Dubious Monarch",3
7,Sulfurous Springs,1
7,Sunfall,2
7,Swamp,11
7,"Takenuma, Abandoned Mire",2
7,The Celestus,2
7,The Eternal Wanderer,2
7,The Irencrag,1
7,The Restoration of Eiganjo,4
7,The Seedcore,4
7,The Wandering Emperor,4
7,Thundering Raiju,1
7,Trumpeting Carnosaur,4
7,Venerated Rotpriest,4
7,Virtue of Persistence,6
7,Wedding Announcement,4
7,Witchstalker Frenzy,4
7,Yavimaya Coast,2
8,Ancestral Recall,1
8,Ancient Tomb,4
8,Black Lotus,1
8,Coveted Jewel,4
8,Force of Will,4
8,Grim Monolith,4
8,Island,1
8,"Karn, the Great Creator",1
8,Mana Crypt,1
8,Mana Vault,1
8,Manifold Key,2
8,Mishra's Workshop,4
8,Mox Emerald,1
8,Mox Jet,1
8,Mox Opal,1
8,Mox Pearl,1
8,Mox Ruby,1
8,Mox Sapphire,1
8,Mystic Forge,1
8,"Otawara, Soaring City",1
8,Paradoxical Outcome,4
8,Phyrexian Metamorph,4
8,Sea Gate Restoration,2
8,Sol Ring,1
8,The One Ring,4
8,Time Vault,1
8,Time Walk,1
8,Tinker,1
8,Tolarian Academy,1
8,Trinisphere,1
8,Urza's Saga,4
15,Aether Spellbomb,1
15,Aether Vial,4
15,Ancient Tomb,12
15,Animate Dead,8
15,Architects of Will,4
15,Archon of Cruelty,3
15,"Atraxa, Grand Unifier",4
15,Badlands,4
15,Batterskull,1
15,Battle Cry Goblin,4
15,Bayou,4
15,Bloodbraid Marauder,4
15,Bojuka Bog,2
15,"Boseiju, Who Endures",1
15,Brainstorm,32
15,Brazen Borrower,2
15,Bridge from Below,4
15,Broadside Bombardiers,4
15,Cabal Therapy,5
15,Careful Study,4
15,Cavern of Souls,5
15,Cephalid Coliseum,4
15,Cephalid Illusionist,4
15,Chalice of the Void,2
15,Chrome Mox,7
15,City of Traitors,9
15,Colossal Skyturtle,1
15,Copy Artifact,4
15,Coveted Jewel,4
15,Crashing Footfalls,3
15,Crop Rotation,7
15,Dark Depths,5
15,Dark Ritual,4
15,Dauntless Dismantler,3
15,Daze,27
15,Dread Return,2
15,Dryad Arbor,2
15,Echoing Deeps,1
15,"Eiganjo, Seat of the Empire",1
15,Elvish Reclaimer,8
15,"Emrakul, the Aeons Torn",1
15,"Emry, Lurker of the Loch",3
15,Endurance,1
15,Entomb,8
15,Exhume,4
15,Extraction Specialist,1
15,Faithless Looting,4
15,Fatal Push,10
15,Flagstones of Trokair,4
15,Flickerwisp,4
15,Flooded Strand,6
15,Force of Negation,3
15,Force of Will,44
15,Forest,3
15,Gaddock Teeg,1
15,Gemstone Caverns,2
15,Glassdust Hulk,1
15,Goblin Matron,4
15,Goblin Rabblemaster,4
15,Goblin Ringleader,4
15,Golgari Grave-Troll,4
15,Golgari Thug,3
15,Green Sun's Zenith,8
15,Grief,8
15,Grim Monolith,4
15,Griselbrand,4
15,"Hogaak, Arisen Necropolis",1
15,Ichorid,2
15,Incubation // Incongruity,4
15,Island,15
15,Kaldra Compleat,1
15,Kappa Cannoneer,2
15,Karakas,5
15,Knight of the Reliquary,8
15,Land Grant,1
15,Legolas's Quick Reflexes,5
15,"Leovold, Emissary of Trest",1
15,Loran of the Third Path,1
15,Lotus Petal,12
15,Lórien Revealed,14
15,Marsh Flats,5
15,Maze of Ith,1
15,Metallic Rebuke,2
15,Misdirection,1
15,Mishra's Bauble,4
15,Misty Rainforest,25
15,Mother of Runes,4
15,Mountain,2
15,Mox Diamond,7
15,Mox Opal,4
15,Murderous Cut,10
15,Murktide Regent,20
15,"Muxus, Goblin Grandee",4
15,Mystic Sanctuary,5
15,Narcomoeba,7
15,Nomads en-Kor,4
15,Once Upon a Time,4
15,Orcish Bowmasters,27
15,Orim's Chant,3
15,"Otawara, Soaring City",2
15,Otherworldly Gaze,4
15,Outland Liberator,2
15,Pact of Negation,3
15,Paradox Engine,1
15,Patchwork Automaton,4
15,Phyrexian Metamorph,4
15,Pithing Needle,2
15,Plains,14
15,Polluted Delta,31
15,Ponder,28
15,Ramunap Excavator,2
15,Reanimate,8
15,Recruiter of the Guard,2
15,Rise // Fall,2
15,Rishadan Port,3
15,"Sai, Master Thopterist",1
15,Sanctum Prelate,1
15,Sauron's Ransom,4
15,Savannah,6
15,Scalding Tarn,3
15,Scrubland,1
15,Sea Gate Restoration,4
15,Seat of the Synod,4
15,Sejiri Steppe,3
15,Shadowspear,1
15,Shatterskull Smashing,4
15,Sheoldred's Edict,9
15,Show and Tell,4
15,Shuko,2
15,Simian Spirit Guide,4
15,Skirk Prospector,2
15,Snow-Covered Mountain,2
15,Solitude,1
15,Spell Pierce,5
15,Step Through,3
15,Stifle,6
15,Stinkweed Imp,4
15,Stoneforge Mystic,4
15,Street Wraith,3
15,Swamp,3
15,Swords to Plowshares,12
15,Sylvan Library,3
15,Sylvan Safekeeper,2
15,"Syr Ginger, the Meal Ender",1
15,Taiga,1
15,Tarmogoyf,2
15,"Teferi, Time Raveler",2
15,"Thalia, Guardian of Thraben",4
15,Thassa's Oracle,1
15,The One Ring,4
15,Thespian's Stage,6
15,Thought Monitor,2
15,Thoughtcast,4
15,Thoughtseize,7
15,Timeless Dragon,1
15,Transmute Artifact,4
15,Troll of Khazad-dûm,4
15,Tropical Island,13
15,Tundra,3
15,Umezawa's Jitte,1
15,Underground Sea,24
15,Unmask,4
15,Up the Beanstalk,20
15,Urza's Bauble,3
15,Urza's Saga,9
15,Verdant Catacombs,2
15,Volcanic Island,1
15,Wasteland,34
15,Windswept Heath,8
15,Witherbloom Command,10
15,Wooded Foothills,1
15,"Yavimaya, Cradle of Growth",4
15,_____ Goblin,4
16,"Adeline, Resplendent Cathar",1
16,Aether Spellbomb,1
16,Aether Vial,4
16,Agatha's Soul Cauldron,15
16,Amulet of Vigor,4
16,Ancient Stirrings,4
16,Arboreal Grazer,4
16,Architects of Will,4
16,Archive Trap,4
16,Archmage's Charm,2
16,Archon of Cruelty,2
16,Ardent Plea,2
16,Arid Mesa,3
16,Asmoranomardicadaistinaculdacar,4
16,"Atraxa, Grand Unifier",1
16,"Azusa, Lost but Seeking",2
16,Blast Zone,1
16,Blood Artist,5
16,Blood Crypt,3
16,Blood Moon,1
16,Bloodstained Mire,6
16,Blooming Marsh,13
16,Boros Garrison,1
16,"Boseiju, Who Endures",24
16,Brazen Borrower,1
16,Breeding Pool,9
16,Cavern of Souls,4
16,Champion of the Parish,4
16,Change the Equation,1
16,Chord of Calling,20
16,Chromatic Sphere,4
16,Consider,3
16,Counterspell,20
16,Cranial Plating,4
16,Crashing Footfalls,16
16,Crumbling Vestige,2
16,Cultivator Colossus,1
16,Curator of Mysteries,4
16,Darkbore Pathway,1
16,Darksteel Citadel,4
16,Dead // Gone,15
16,Death's Shadow,4
16,Delighted Halfling,28
16,Dismember,7
16,Dragon's Rage Channeler,12
16,Dress Down,5
16,Drown in the Loch,7
16,Dryad Arbor,4
16,Dryad of the Ilysian Grove,4
16,Dwarven Mine,3
16,Eldritch Evolution,5
16,"Elesh Norn, Mother of Machines",2
16,Endurance,3
16,Esper Sentinel,4
16,Expedition Map,5
16,Expressive Iteration,12
16,Extraction Specialist,2
16,Fable of the Mirror-Breaker,4
16,Fatal Push,9
16,Field of Ruin,4
16,Fiery Islet,3
16,Fire // Ice,21
16,Flame of Anor,14
16,Flooded Strand,22
16,Force of Negation,22
16,Forest,24
16,Forging the Anchor,4
16,Fractured Sanity,4
16,Frogmite,4
16,Fulminator Mage,1
16,Gemstone Caverns,3
16,Generous Ent,4
16,Gilded Goose,3
16,Gingerbrute,1
16,Grief,4
16,"Grist, the Hunger Tide",23
16,Gruul Turf,2
16,Hall of Storm Giants,1
16,"Hapatra, Vizier of Poisons",5
16,Haywire Mite,3
16,Hedron Crab,4
16,Ignoble Hierarch,4
16,Indatha Triome,3
16,Indomitable Creativity,4
16,Inquisition of Kozilek,2
16,"Inti, Seneschal of the Sun",3
16,Island,31
16,"Jace, the Perfected Mind",2
16,Jetmir's Garden,1
16,"Karn, the Great Creator",4
16,Ketria Triome,3
16,Khalni Garden,5
16,Ledger Shredder,4
16,Leyline Binding,20
16,Lightning Bolt,25
16,Littjara Mirrorlake,1
16,Living End,3
16,Lórien Revealed,15
16,Meddling Mage,2
16,Memnite,4
16,"Mikokoro, Center of the Sea",1
16,Mishra's Bauble,12
16,Mishra's Research Desk,1
16,Mistvault Bridge,2
16,Misty Rainforest,40
16,Molten Collapse,1
16,Mountain,4
16,Murktide Regent,17
16,Mutavault,7
16,Nettlecyst,2
16,Nihil Spellbomb,1
16,Nishoba Brawler,4
16,"Nissa, Resurgent Animist",3
16,Nurturing Peatland,7
16,Oblivion Stone,4
16,"Oboro, Palace in the Clouds",1
16,Oliphaunt,2
16,"Omnath, Locus of Creation",8
16,Orcish Bowmasters,28
16,Ornithopter,4
16,"Otawara, Soaring City",12
16,Ovalchase Daredevil,3
16,Overgrown Tomb,12
16,Patchwork Automaton,4
16,Pendelhaven,5
16,Pithing Needle,1
16,Plains,4
16,Polluted Delta,16
16,Preordain,21
16,Primeval Titan,4
16,Prismatic Ending,8
16,"Ragavan, Nimble Pilferer",20
16,Ranger-Captain of Eos,3
16,Raugrin Triome,2
16,Reflector Mage,2
16,Relic of Progenitus,2
16,Reprieve,4
16,Ruin Crab,4
16,Sacred Foundry,6
16,Savai Triome,1
16,Scalding Tarn,18
16,Scavenging Ooze,1
16,Scion of Draco,4
16,Secluded Courtyard,4
16,Selesnya Sanctuary,3
16,Shadowspear,3
16,Shardless Agent,20
16,Shelldock Isle,1
16,"Sheoldred, the Apocalypse",5
16,Silence,2
16,Silent Clearing,4
16,Simic Growth Chamber,4
16,Slayers' Stronghold,1
16,Snapcaster Mage,4
16,Snow-Covered Forest,1
16,Snow-Covered Island,2
16,Snow-Covered Plains,1
16,Snow-Covered Swamp,1
16,Sojourner's Companion,4
16,Solitude,8
16,Spell Pierce,9
16,Spell Snare,3
16,Spirebluff Canal,12
16,Springleaf Drum,4
16,Steam Vents,24
