card id,card name,colors,cmc,type,subtype,MTGO_id,cardset,rarity,foil,latest price
206,Fulminator Mage,"['B', 'R']",3,"[""'Creature'""]","[""'Elemental'"", ""'Shaman'""]",29333,SHM,Rare,0,0.25
207,Gemstone Caverns,,0,"[""'Legendary'"", ""'Land'""]",,25889,TSP,Rare,0,2.29
208,Gilded Goose,['G'],1,"[""'Creature'""]","[""'Bird'""]",78458,ELD,Rare,0,0.23
209,"Grist, the Hunger Tide","['B', 'G']",3,"[""'Legendary'"", ""'Planeswalker'""]","[""'Grist'""]",91327,PRM,Mythic,0,5.75
210,Hall of Storm Giants,,0,"[""'Land'""]",,92016,AFR,Rare,0,2.55
211,Hallowed Fountain,,0,"[""'Land'""]","[""'Plains'"", ""'Island'""]",46503,RTR,Rare,0,0.09
212,Hangarback Walker,,0,"[""'Artifact'"", ""'Creature'""]","[""'Construct'""]",58128,ORI,Rare,0,0.46
213,"Hapatra, Vizier of Poisons","['B', 'G']",2,"[""'Legendary'"", ""'Creature'""]","[""'Human'"", ""'Cleric'""]",64000,AKH,Rare,0,0.006
214,Hardened Scales,['G'],1,"[""'Enchantment'""]",,115934,WOT,Rare,0,0.06
215,Haywire Mite,,1,"[""'Artifact'"", ""'Creature'""]","[""'Insect'""]",105018,BRO,Uncommon,0,0.007
216,"Heliod, Sun-Crowned",['W'],3,"[""'Legendary'"", ""'Enchantment'"", ""'Creature'""]","[""'God'""]",79160,THB,Mythic,0,0.37
217,Idyllic Grange,,0,"[""'Land'""]","[""'Plains'""]",78638,ELD,Common,0,0.002
218,Ignoble Hierarch,['G'],1,"[""'Creature'""]","[""'Goblin'"", ""'Shaman'""]",90709,MH2,Rare,0,0.46
219,Indatha Triome,,0,"[""'Land'""]","[""'Plains'"", ""'Swamp'"", ""'Forest'""]",80505,IKO,Rare,0,4.46
220,Indomitable Creativity,['R'],3,"[""'Sorcery'""]",,62757,AER,Mythic,0,1.77
221,Inkmoth Nexus,,0,"[""'Land'""]",,39329,MBS,Rare,0,1.02
222,Inscription of Abundance,['G'],2,"[""'Instant'""]",,83357,ZNR,Rare,0,0.007
223,Jetmir's Garden,,0,"[""'Land'""]","[""'Mountain'"", ""'Forest'"", ""'Plains'""]",98719,SNC,Rare,0,3.06
224,Ketria Triome,,0,"[""'Land'""]","[""'Forest'"", ""'Island'"", ""'Mountain'""]",80509,IKO,Rare,0,2.16
225,Khalni Garden,,0,"[""'Land'""]",,35513,WWK,Common,0,0.08
226,Kolaghan's Command,"['B', 'R']",3,"[""'Instant'""]",,56082,DTK,Rare,0,0.28
227,"Kroxa, Titan of Death's Hunger","['B', 'R']",2,"[""'Legendary'"", ""'Creature'""]","[""'Elder'"", ""'Giant'""]",87216,SLD,Mythic,1,0.74
228,Lair of the Hydra,,0,"[""'Land'""]",,92020,AFR,Rare,0,1.04
229,Ledger Shredder,['U'],2,"[""'Creature'""]","[""'Bird'"", ""'Advisor'""]",99733,PRM,Rare,0,2.68
230,Legion's End,['B'],2,"[""'Sorcery'""]",,73111,M20,Rare,0,1.49
231,Leyline Binding,['W'],6,"[""'Enchantment'""]",,103396,PRM,Rare,0,7.86
232,Logic Knot,['U'],2,"[""'Instant'""]",,86509,TSR,Common,0,0.002
233,Magus of the Moon,['R'],3,"[""'Creature'""]","[""'Human'"", ""'Wizard'""]",86722,TSR,Rare,1,16.99
234,"Minamo, School at Water's Edge",,0,"[""'Legendary'"", ""'Land'""]",,21385,CHK,Rare,0,0.07
235,Mount Doom,,0,"[""'Legendary'"", ""'Land'""]",,119910,LTR,Mythic,0,0.02
236,Mutavault,,0,"[""'Land'""]",,49135,M14,Rare,0,0.93
237,Mystic Gate,,0,"[""'Land'""]",,29493,SHM,Rare,0,0.007
238,"Nissa, Resurgent Animist",['G'],3,"[""'Legendary'"", ""'Creature'""]","[""'Elf'"", ""'Scout'""]",109062,MAT,Mythic,0,0.64
239,Noble Hierarch,['G'],1,"[""'Creature'""]","[""'Human'"", ""'Druid'""]",31745,CON,Rare,0,0.17
240,Not Dead After All,['B'],1,"[""'Instant'""]",,116518,WOE,Common,0,0.002
241,Nurturing Peatland,,0,"[""'Land'""]",,72858,MH1,Rare,0,2.76
242,Old-Growth Troll,['G'],3,"[""'Creature'""]","[""'Troll'"", ""'Warrior'""]",87713,KHM,Rare,0,0.18
243,Oliphaunt,['R'],6,"[""'Creature'""]","[""'Elephant'""]",112188,LTR,Common,0,0.002
244,"Omnath, Locus of Creation","['G', 'R', 'U', 'W']",4,"[""'Legendary'"", ""'Creature'""]","[""'Elemental'""]",83459,ZNR,Mythic,0,2.69
245,Overgrown Tomb,,0,"[""'Land'""]","[""'Swamp'"", ""'Forest'""]",69919,GRN,Rare,0,0.12
246,Pendelhaven,,0,"[""'Legendary'"", ""'Land'""]",,26016,TSB,Rare,1,2.06
247,Plains,,0,"[""'Basic'"", ""'Land'""]","[""'Plains'""]",118434,LCI,Common,0,0.002
248,Questing Beast,['G'],4,"[""'Legendary'"", ""'Creature'""]","[""'Beast'""]",78482,ELD,Mythic,0,0.36
249,"Ragavan, Nimble Pilferer",['R'],1,"[""'Legendary'"", ""'Creature'""]","[""'Monkey'"", ""'Pirate'""]",99679,PRM,Mythic,0,10.0
250,Ranger-Captain of Eos,['W'],3,"[""'Creature'""]","[""'Human'"", ""'Soldier'"", ""'Ranger'""]",72414,MH1,Mythic,0,1.3900000000000001
251,Raugrin Triome,,0,"[""'Land'""]","[""'Island'"", ""'Mountain'"", ""'Plains'""]",80511,IKO,Rare,0,1.02
252,Reprieve,['W'],2,"[""'Instant'""]",,111962,LTR,Uncommon,0,0.006
