card id,card name,colors,cmc,type
69,Life from the Loam,['G'],2,Sorcery
70,Lightning Bolt,['R'],1,Instant
71,Living End,['B'],0,Sorcery
72,Living Wish,['G'],2,Sorcery
73,Lotus Petal,,0,Artifact
74,Lórien Revealed,['U'],5,Sorcery
75,Malevolent Hermit,['U'],2,Creature — Human Wizard
76,Marsh Flats,,0,Land
77,Maze of Ith,,0,Land
78,Metallic Rebuke,['U'],3,Instant
79,Minor Misstep,['U'],1,Instant
80,"Minsc & Boo, Timeless Heroes","['G', 'R']",4,Legendary Planeswalker — Minsc
81,Misdirection,['U'],5,Instant
82,Mishra's Bauble,,0,Artifact
83,Misty Rainforest,,0,Land
84,Mogg War Marshal,['R'],2,Creature — Goblin Warrior
85,Molten Collapse,"['B', 'R']",2,Sorcery
86,Mountain,,0,Basic Land — Mountain
87,Mox Diamond,,0,Artifact
88,Mox Opal,,0,Legendary Artifact
89,Munitions Expert,"['B', 'R']",2,Creature — Goblin
90,Murderous Cut,['B'],5,Instant
91,Murktide Regent,['U'],7,Creature — Dragon
92,"Muxus, Goblin Grandee",['R'],6,Legendary Creature — Goblin Noble
93,Mystic Sanctuary,,0,Land — Island
94,Mystical Dispute,['U'],3,Instant
95,Once Upon a Time,['G'],2,Instant
96,Orcish Bowmasters,['B'],2,Creature — Orc Archer
97,"Otawara, Soaring City",,0,Legendary Land
98,Paradigm Shift,['U'],2,Sorcery
99,Patchwork Automaton,,2,Artifact Creature — Construct
100,Pernicious Deed,"['B', 'G']",3,Enchantment
101,Phyrexian Dreadnought,,1,Artifact Creature — Phyrexian Dreadnought
102,Pithing Needle,,1,Artifact
103,Polluted Delta,,0,Land
104,Ponder,['U'],1,Sorcery
105,Preordain,['U'],1,Sorcery
106,Prismatic Ending,['W'],1,Sorcery
107,Prismatic Vista,,0,Land
108,Questing Druid,['G'],2,Creature — Human Druid
109,Reanimate,['B'],1,Sorcery
110,Riftstone Portal,,0,Land
111,Rishadan Port,,0,Land
112,"Sai, Master Thopterist",['U'],3,Legendary Creature — Human Artificer
113,Sauron's Ransom,"['B', 'U']",3,Instant
114,Savannah,,0,Land — Forest Plains
115,Scalding Tarn,,0,Land
116,Scrubland,,0,Land — Plains Swamp
117,Seat of the Synod,,0,Artifact Land
118,Serra's Emissary,['W'],7,Creature — Angel
119,Shadowspear,,1,Legendary Artifact — Equipment
120,Shardless Agent,"['G', 'U']",3,Artifact Creature — Human Rogue
121,Sheoldred's Edict,['B'],2,Instant
122,Simian Spirit Guide,['R'],3,Creature — Ape Spirit
123,Skirk Prospector,['R'],1,Creature — Goblin
124,Sling-Gang Lieutenant,['B'],4,Creature — Goblin
125,Slip Out the Back,['U'],1,Instant
126,Snow-Covered Forest,,0,Basic Snow Land — Forest
127,Snow-Covered Island,,0,Basic Snow Land — Island
128,Snow-Covered Swamp,,0,Basic Snow Land — Swamp
129,Snuff Out,['B'],4,Instant
130,Soul-Guide Lantern,,1,Artifact
131,Spell Pierce,['U'],1,Instant
132,Spell Snare,['U'],1,Instant
133,Spellseeker,['U'],3,Creature — Human Wizard
134,Sphere of Resistance,,2,Artifact
135,Step Through,['U'],5,Sorcery
136,Stifle,['U'],1,Instant
137,Stingscourger,['R'],2,Creature — Goblin Warrior
138,Street Wraith,['B'],5,Creature — Wraith
139,Strict Proctor,['W'],2,Creature — Spirit Cleric
140,Swamp,,0,Basic Land — Swamp
141,Swords to Plowshares,['W'],1,Instant
142,Sylvan Library,['G'],2,Enchantment
143,Taiga,,0,Land — Mountain Forest
144,Thassa's Oracle,['U'],2,Creature — Merfolk Wizard
145,The One Ring,,4,Legendary Artifact
146,The Tabernacle at Pendrell Vale,,0,Legendary Land
147,Thespian's Stage,,0,Land
148,Thought Lash,['U'],4,Enchantment
149,Thought Monitor,['U'],7,Artifact Creature — Construct
150,Thoughtcast,['U'],5,Sorcery
151,Thoughtseize,['B'],1,Sorcery
152,Torpor Orb,,2,Artifact
153,Trinisphere,,3,Artifact
154,Troll of Khazad-dûm,['B'],6,Creature — Troll
155,Tropical Island,,0,Land — Forest Island
156,Tundra,,0,Land — Plains Island
157,Underground Sea,,0,Land — Island Swamp
158,Undermountain Adventurer,['G'],4,Creature — Giant Warrior
159,Unholy Heat,['R'],1,Instant
160,Unmask,['B'],4,Sorcery
161,Up the Beanstalk,['G'],2,Enchantment
162,"Uro, Titan of Nature's Wrath","['G', 'U']",3,Legendary Creature — Elder Giant
163,Urza's Bauble,,0,Artifact
164,Urza's Saga,,0,Enchantment Land — Urza's Saga
165,Verdant Catacombs,,0,Land
166,Violent Outburst,"['G', 'R']",3,Instant
167,Volcanic Island,,0,Land — Island Mountain
168,Wail of the Forgotten,"['B', 'U']",2,Sorcery
169,Wasteland,,0,Land
170,Windswept Heath,,0,Land
171,Witherbloom Command,"['B', 'G']",2,Sorcery
172,Wooded Foothills,,0,Land
173,"Yavimaya, Cradle of Growth",,0,Legendary Land
174,_____ Goblin,['R'],3,Creature — Goblin Guest
175,Agatha's Soul Cauldron,None,2,Legendary Artifact
176,Ancient Stirrings,['G'],1,Sorcery
177,Animation Module,,1,Artifact
178,Arcbound Ravager,,2,Artifact Creature — Beast
179,Arid Mesa,,0,Land
180,Aspect of Hydra,['G'],1,Instant
181,Blackcleave Cliffs,,0,Land
182,Blood Artist,['B'],2,Creature — Vampire
183,Blood Crypt,,0,Land — Swamp Mountain
184,Blooming Marsh,,0,Land
185,Bonecrusher Giant,['R'],3,Creature — Giant
186,Breeding Pool,,0,Land — Forest Island
187,Castle Locthwain,,0,Land
188,Castle Vantress,,0,Land
189,Chord of Calling,['G'],3,Instant
190,Counterspell,['U'],2,Instant
191,Cragcrown Pathway,,0,Land
192,Curator of Mysteries,['U'],4,Creature — Sphinx
193,Dauthi Voidwalker,['B'],2,Creature — Dauthi Rogue
194,Dead // Gone,['R'],4,Instant
195,Delighted Halfling,['G'],1,Creature — Halfling Citizen
196,Deputy of Detention,"['U', 'W']",3,Creature — Vedalken Wizard
197,Dismember,['B'],3,Instant
198,Dryad Arbor,['G'],0,Land Creature — Forest Dryad
199,Dwarven Mine,,0,Land — Mountain
200,Eagles of the North,['W'],6,Creature — Bird Soldier
201,Echoing Deeps,None,0,Land — Cave
202,Eldritch Evolution,['G'],3,Sorcery
203,Ephemerate,['W'],1,Instant
204,Expressive Iteration,"['R', 'U']",2,Sorcery
205,Flame of Anor,"['R', 'U']",3,Instant
206,Fulminator Mage,"['B', 'R']",3,Creature — Elemental Shaman
207,Gemstone Caverns,,0,Legendary Land
208,Gilded Goose,['G'],1,Creature — Bird
209,"Grist, the Hunger Tide","['B', 'G']",3,Legendary Planeswalker — Grist
210,Hall of Storm Giants,,0,Land
211,Hallowed Fountain,,0,Land — Plains Island
212,Hangarback Walker,,0,Artifact Creature — Construct
213,"Hapatra, Vizier of Poisons","['B', 'G']",2,Legendary Creature — Human Cleric
214,Hardened Scales,['G'],1,Enchantment
215,Haywire Mite,,1,Artifact Creature — Insect
216,"Heliod, Sun-Crowned",['W'],3,Legendary Enchantment Creature — God
217,Idyllic Grange,,0,Land — Plains
218,Ignoble Hierarch,['G'],1,Creature — Goblin Shaman
219,Indatha Triome,,0,Land — Plains Swamp Forest
220,Indomitable Creativity,['R'],3,Sorcery
221,Inkmoth Nexus,,0,Land
222,Inscription of Abundance,['G'],2,Instant
223,Jetmir's Garden,,0,Land — Mountain Forest Plains
224,Ketria Triome,,0,Land — Forest Island Mountain
225,Khalni Garden,,0,Land
226,Kolaghan's Command,"['B', 'R']",3,Instant
227,"Kroxa, Titan of Death's Hunger","['B', 'R']",2,Legendary Creature — Elder Giant
228,Lair of the Hydra,,0,Land
229,Ledger Shredder,['U'],2,Creature — Bird Advisor
230,Legion's End,['B'],2,Sorcery
231,Leyline Binding,['W'],6,Enchantment
232,Logic Knot,['U'],2,Instant
233,Magus of the Moon,['R'],3,Creature — Human Wizard
234,"Minamo, School at Water's Edge",,0,Legendary Land
235,Mount Doom,,0,Legendary Land
236,Mutavault,,0,Land
237,Mystic Gate,,0,Land
238,"Nissa, Resurgent Animist",['G'],3,Legendary Creature — Elf Scout
239,Noble Hierarch,['G'],1,Creature — Human Druid
240,Not Dead After All,['B'],1,Instant
241,Nurturing Peatland,,0,Land
242,Old-Growth Troll,['G'],3,Creature — Troll Warrior
243,Oliphaunt,['R'],6,Creature — Elephant
244,"Omnath, Locus of Creation","['G', 'R', 'U', 'W']",4,Legendary Creature — Elemental
245,Overgrown Tomb,,0,Land — Swamp Forest
246,Pendelhaven,,0,Legendary Land
247,Plains,,0,Basic Land — Plains
248,Questing Beast,['G'],4,Legendary Creature — Beast
249,"Ragavan, Nimble Pilferer",['R'],1,Legendary Creature — Monkey Pirate
250,Ranger-Captain of Eos,['W'],3,Creature — Human Soldier Ranger
251,Raugrin Triome,,0,Land — Island Mountain Plains
252,Reprieve,['W'],2,Instant
253,Rhonas the Indomitable,['G'],3,Legendary Creature — God
254,Sacred Foundry,,0,Land — Mountain Plains
255,Savai Triome,,0,Land — Mountain Plains Swamp
256,Scavenging Ooze,['G'],2,Creature — Ooze
257,"Sheoldred, the Apocalypse",['B'],4,Legendary Creature — Phyrexian Praetor
258,Silence,['W'],1,Instant
259,Snow-Covered Plains,,0,Basic Snow Land — Plains
260,Solitude,['W'],5,Creature — Elemental Incarnation
261,Spirebluff Canal,,0,Land
262,Springleaf Drum,,1,Artifact
263,Steam Vents,,0,Land — Island Mountain
264,Steel Leaf Champion,['G'],3,Creature — Elf Knight
265,Stern Scolding,['U'],1,Instant
266,Stomping Ground,,0,Land — Mountain Forest
267,Strangleroot Geist,['G'],2,Creature — Spirit
268,Striped Riverwinder,['U'],7,Creature — Serpent
269,Subtlety,['U'],4,Creature — Elemental Incarnation
270,Supreme Verdict,"['U', 'W']",4,Sorcery
271,"Takenuma, Abandoned Mire",,0,Legendary Land
272,"Teferi, Time Raveler","['U', 'W']",3,Legendary Planeswalker — Teferi
273,Temple Garden,,0,Land — Forest Plains
274,Terminate,"['B', 'R']",2,Instant
275,The Ozolith,,1,Legendary Artifact
276,Thraben Inspector,['W'],1,Creature — Human Soldier
277,Tishana's Tidebinder,['U'],3,Creature — Merfolk Wizard
278,Transmogrify,['R'],4,Sorcery
279,Twilight Mire,,0,Land
280,Undying Evil,['B'],1,Instant
281,"Urborg, Tomb of Yawgmoth",,0,Legendary Land
282,Vines of Vastwood,['G'],1,Instant
283,Waker of Waves,['U'],7,Creature — Whale
284,Walking Ballista,,0,Artifact Creature — Construct
285,Wall of Omens,['W'],2,Creature — Wall
286,Wall of Roots,['G'],2,Creature — Plant Wall
287,Watery Grave,,0,Land — Island Swamp
288,Welding Jar,,0,Artifact
289,Wrenn and Six,"['G', 'R']",2,Legendary Planeswalker — Wrenn
290,Xander's Lounge,,0,Land — Island Swamp Mountain
291,"Yawgmoth, Thran Physician",['B'],4,Legendary Creature — Human Cleric
292,Young Wolf,['G'],1,Creature — Wolf
293,"Zabaz, the Glimmerwasp",,1,Legendary Artifact Creature — Insect
294,Zagoth Triome,,0,Land — Swamp Forest Island
295,Zulaport Cutthroat,['B'],2,Creature — Human Rogue Ally
296,Abundant Growth,['G'],1,Enchantment — Aura
297,Agony Warp,"['B', 'U']",2,Instant
298,All That Glitters,['W'],2,Enchantment — Aura
299,Ancestral Mask,['G'],3,Enchantment — Aura
300,Ancient Den,,0,Artifact Land
301,Armadillo Cloak,"['G', 'W']",3,Enchantment — Aura
302,Ash Barrens,,0,Land
303,Augur of Bolas,['U'],2,Creature — Merfolk Wizard
304,Aviary Mechanic,['W'],2,Creature — Dwarf Artificer
305,Behold the Multiverse,['U'],4,Instant
306,Breath Weapon,['R'],3,Instant
307,Cartouche of Solidarity,['W'],1,Enchantment — Aura Cartouche
308,Cast Down,['B'],2,Instant
309,Chain Lightning,['R'],1,Sorcery
310,Chainer's Edict,['B'],2,Sorcery
311,Contaminated Aquifer,,0,Land — Island Swamp
312,Dawnbringer Cleric,['W'],2,Creature — Human Cleric
313,Desert,,0,Land — Desert
314,Diabolic Edict,['B'],2,Instant
315,Dimir Aqueduct,,0,Land
316,Dispel,['U'],1,Instant
317,Dwarven Forge-Chanter,['R'],2,Creature — Dwarf Wizard
318,Echoing Decay,['B'],2,Instant
319,End the Festivities,['R'],1,Sorcery
320,Ethereal Armor,['W'],1,Enchantment — Aura
321,Eureka Moment,"['G', 'U']",4,Instant
322,Experimental Synthesizer,['R'],1,Artifact
323,Faerie Seer,['U'],1,Creature — Faerie Wizard
324,Fireblast,['R'],6,Instant
325,Forgotten Cave,,0,Land
326,Galvanic Blast,['R'],1,Instant
327,Gladecover Scout,['G'],1,Creature — Elf Scout
328,Glint Hawk,['W'],1,Creature — Bird
329,Goblin Blast-Runner,['R'],1,Creature — Goblin
330,Goblin Bushwhacker,['R'],1,Creature — Goblin Warrior
331,Goblin Tomb Raider,['R'],1,Creature — Goblin Pirate
332,Great Furnace,,0,Artifact Land
333,Growth Spiral,"['G', 'U']",2,Instant
334,Gurmag Angler,['B'],7,Creature — Zombie Fish
335,Ichor Wellspring,,2,Artifact
336,Implement of Combustion,,1,Artifact
337,Journey to Nowhere,['W'],2,Enchantment
338,Kessig Flamebreather,['R'],2,Creature — Human Shaman
339,Kor Skyfisher,['W'],2,Creature — Kor Soldier
340,Kuldotha Rebirth,['R'],1,Sorcery
341,Lava Dart,['R'],1,Instant
342,Lembas,,2,Artifact — Food
343,Maestros Theater,,0,Land
344,Makeshift Munitions,['R'],2,Enchantment
345,Molten Tributary,,0,Land — Island Mountain
346,Moment's Peace,['G'],2,Instant
347,Murmuring Mystic,['U'],4,Creature — Human Wizard
348,Mystical Teachings,['U'],4,Instant
349,Ninja of the Deep Hours,['U'],4,Creature — Human Ninja
350,Pieces of the Puzzle,['U'],3,Sorcery
351,Rancor,['G'],1,Enchantment — Aura
352,Reckless Impulse,['R'],2,Sorcery
353,Relic of Progenitus,,1,Artifact
354,Rugged Highlands,,0,Land
355,Seal of Fire,['R'],1,Enchantment
356,Searing Blaze,['R'],2,Instant
357,Secluded Steppe,,0,Land
358,Silhana Ledgewalker,['G'],2,Creature — Elf Rogue
359,Simic Growth Chamber,,0,Land
360,Slippery Bogle,"['G', 'U']",1,Creature — Beast
361,Spellstutter Sprite,['U'],2,Creature — Faerie Wizard
362,Stream of Thought,['U'],1,Sorcery
363,Suffocating Fumes,['B'],3,Instant
364,Swiftwater Cliffs,,0,Land
365,Tangle,['G'],2,Instant
366,Tangled Islet,,0,Land — Forest Island
367,Thorn of the Black Rose,['B'],4,Creature — Human Assassin
368,Thornwood Falls,,0,Land
369,Tolarian Terror,['U'],7,Creature — Serpent
370,Unexpected Fangs,['B'],2,Instant
371,Utopia Sprawl,['G'],1,Enchantment — Aura
372,Voldaren Epicure,['R'],1,Creature — Vampire
373,Weather the Storm,['G'],2,Instant
374,Wind-Scarred Crag,,0,Land
375,Wrenn's Resolve,['R'],2,Sorcery
376,Absorb,"['U', 'W']",3,Instant
377,Agent of Treachery,['U'],7,Creature — Human Rogue
378,Ancestral Anger,['R'],1,Sorcery
379,Archfiend of the Dross,['B'],4,Creature — Phyrexian Demon
380,Archon of Sun's Grace,['W'],4,Creature — Archon
381,Arclight Phoenix,['R'],4,Creature — Phoenix
382,Ascendant Spirit,['U'],1,Snow Creature — Spirit
383,Bala Ged Recovery,['G'],3,Sorcery
384,Battlefield Forge,,0,Land
385,Bitter Triumph,['B'],2,Instant
386,Blightstep Pathway,,0,Land
387,Bloodtithe Harvester,"['B', 'R']",2,Creature — Vampire
388,Castle Ardenvale,,0,Land
389,Castle Embereth,,0,Land
390,Chained to the Rocks,['W'],1,Enchantment — Aura
391,"Chandra, Dressed to Kill",['R'],3,Legendary Planeswalker — Chandra
392,"Chandra, Hope's Beacon",['R'],6,Legendary Planeswalker — Chandra
393,Change the Equation,['U'],2,Instant
394,Conspiracy Theorist,['R'],2,Creature — Human Shaman
395,Curious Obsession,['U'],1,Enchantment — Aura
396,Dark Petition,['B'],5,Sorcery
397,Defiant Strike,['W'],1,Instant
398,Den of the Bugbear,,0,Land
399,Deserted Beach,,0,Land
400,Dovin's Veto,"['U', 'W']",2,Instant
401,Dreadhorde Arcanist,['R'],2,Creature — Zombie Wizard
402,Duress,['B'],1,Sorcery
403,"Eiganjo, Seat of the Empire",,0,Legendary Land
404,"Elesh Norn, Mother of Machines",['W'],5,Legendary Creature — Phyrexian Praetor
405,Emergent Ultimatum,"['B', 'G', 'U']",7,Sorcery
406,Enigmatic Incarnation,"['G', 'U']",4,Enchantment
407,Faceless Haven,,0,Snow Land
408,Farewell,['W'],6,Sorcery
409,Favored Hoplite,['W'],1,Creature — Human Soldier
410,Field of Ruin,,0,Land
411,Fiery Impulse,['R'],1,Instant
412,Fires of Invention,['R'],4,Enchantment
413,Furnace Punisher,['R'],3,Creature — Phyrexian Warrior
414,Galvanic Iteration,"['R', 'U']",2,Instant
415,Geistlight Snare,['U'],3,Instant
416,Get Lost,['W'],2,Instant
417,Glacial Fortress,,0,Land
418,Glasspool Mimic,['U'],3,Creature — Shapeshifter Rogue
419,Go Blank,['B'],3,Sorcery
420,Go for the Throat,['B'],2,Instant
421,Gods Willing,['W'],1,Instant
422,Graveyard Trespasser,['B'],3,Creature — Human Werewolf
423,Hallowed Moonlight,['W'],2,Instant
424,Hanged Executioner,['W'],3,Creature — Spirit
425,Haunted Ridge,,0,Land
426,Hengegate Pathway,,0,Land
427,Hidden Strings,['U'],2,Sorcery
428,Hive of the Eye Tyrant,,0,Land
429,Homestead Courage,['W'],1,Sorcery
430,Icon of Ancestry,,3,Artifact
431,Illuminator Virtuoso,['W'],2,Creature — Human Rogue
432,Inspiring Vantage,,0,Land
433,"Inti, Seneschal of the Sun",['R'],2,Legendary Creature — Human Knight
434,Irrigated Farmland,,0,Land — Plains Island
435,Izzet Charm,"['R', 'U']",2,Instant
436,Jwari Disruption,['U'],2,Instant
437,"Kenrith, the Returned King",['W'],5,Legendary Creature — Human Noble
438,Knight of Autumn,"['G', 'W']",3,Creature — Dryad Knight
439,Kumano Faces Kakkazan,['R'],1,Enchantment — Saga
440,Kutzil's Flanker,['W'],3,Creature — Cat Warrior
441,"Lier, Disciple of the Drowned",['U'],5,Legendary Creature — Human Wizard
442,Light Up the Stage,['R'],3,Sorcery
443,Lightning Axe,['R'],1,Instant
444,Liliana of the Veil,['B'],3,Legendary Planeswalker — Liliana
445,Lotus Field,,0,Land
446,Make Disappear,['U'],2,Instant
447,Mana Confluence,,0,Land
448,March of Otherworldly Light,['W'],1,Instant
449,Mausoleum Wanderer,['U'],1,Creature — Spirit
450,Memory Deluge,['U'],4,Instant
451,Monastery Swiftspear,['R'],1,Creature — Human Monk
452,Monstrous Rage,['R'],1,Instant
453,Needleverge Pathway,,0,Land
454,Nylea's Presence,['G'],2,Enchantment — Aura
455,Omen of the Sea,['U'],2,Enchantment
456,Omniscience,['U'],10,Enchantment
457,Opt,['U'],1,Instant
458,Path to the World Tree,['G'],2,Enchantment
459,Phoenix Chick,['R'],1,Creature — Phoenix
460,Picklock Prankster,['U'],2,Creature — Faerie Rogue
461,Play with Fire,['R'],1,Instant
462,Pore Over the Pages,['U'],5,Sorcery
463,Portable Hole,['W'],1,Artifact
464,Power Word Kill,['B'],2,Instant
465,Prismari Command,"['R', 'U']",3,Instant
466,Quick Study,['U'],3,Instant
467,Rampaging Ferocidon,['R'],3,Creature — Dinosaur
468,Ramunap Ruins,,0,Land — Desert
469,Rattlechains,['U'],2,Creature — Spirit
470,Reckless Rage,['R'],1,Instant
471,Reckoner Bankbuster,,2,Artifact — Vehicle
472,Restless Anchorage,None,0,Land
473,Riverglide Pathway,,0,Land
474,Rootbound Crag,,0,Land
475,Sea Gate Restoration,['U'],7,Sorcery
476,Seachrome Coast,,0,Land
477,Sejiri Shelter,['W'],2,Instant
478,Shacklegeist,['U'],2,Creature — Spirit
479,Shark Typhoon,['U'],6,Enchantment
480,Shore Up,['U'],1,Instant
481,Skyclave Apparition,['W'],3,Creature — Kor Spirit
482,Sleight of Hand,['U'],1,Sorcery
483,"Sokenzan, Crucible of Defiance",,0,Legendary Land
484,Soul-Scar Mage,['R'],1,Creature — Human Wizard
485,Spara's Headquarters,,0,Land — Forest Plains Island
486,Spectral Sailor,['U'],1,Creature — Spirit Pirate
487,Spikefield Hazard,['R'],1,Instant
488,Stormcarved Coast,,0,Land
489,Sulfurous Springs,,0,Land
490,Sunfall,['W'],5,Sorcery
491,Sunken Citadel,None,0,Land — Cave
492,Supreme Phantom,['U'],2,Creature — Spirit
493,Sylvan Scrying,['G'],2,Sorcery
494,"Teferi, Hero of Dominaria","['U', 'W']",5,Legendary Planeswalker — Teferi
495,Temporal Trespass,['U'],11,Sorcery
496,Temporary Lockdown,['W'],3,Enchantment
497,Tenth District Legionnaire,"['R', 'W']",2,Creature — Human Soldier
498,The Wandering Emperor,['W'],4,Legendary Planeswalker
499,"Tolsimir, Friend to Wolves","['G', 'W']",5,Legendary Creature — Elf Scout
500,Treasure Cruise,['U'],8,Sorcery
501,Vizier of Tumbling Sands,['U'],3,Creature — Human Cleric
502,"Aclazotz, Deepest Betrayal",['B'],5,Legendary Creature — Bat God
503,Adarkar Wastes,,0,Land
504,Ambitious Farmhand,['W'],2,Creature — Human Peasant
505,Annex Sentry,['W'],3,Artifact Creature — Phyrexian Cleric
506,Anoint with Affliction,['B'],2,Instant
507,Big Score,['R'],4,Instant
508,Bloodthirsty Adversary,['R'],2,Creature — Vampire
509,Breach the Multiverse,['B'],7,Sorcery
510,Bring the Ending,['U'],2,Instant
511,Brotherhood's End,['R'],3,Sorcery
512,Burn Down the House,['R'],5,Sorcery
513,Charge of the Mites,['W'],3,Instant
514,Charming Scoundrel,['R'],2,Creature — Human Rogue
515,Crawling Chorus,['W'],1,Creature — Phyrexian Horror
516,Cut Down,['B'],1,Instant
517,Deathcap Glade,,0,Land
518,Deep-Cavern Bat,['B'],2,Creature — Bat
519,"Etali, Primal Conqueror",['R'],7,Legendary Creature — Elder Dinosaur
520,Fading Hope,['U'],1,Instant
521,"Feldon, Ronom Excavator",['R'],2,Legendary Creature — Human Artificer
522,Gix's Command,['B'],5,Sorcery
523,"Gix, Yawgmoth Praetor",['B'],3,Legendary Creature — Phyrexian Praetor
524,Glissa Sunslayer,"['B', 'G']",3,Legendary Creature — Phyrexian Zombie Elf
525,"Goddric, Cloaked Reveler",['R'],3,Legendary Creature — Human Noble
526,Jawbone Duelist,['W'],2,Creature — Phyrexian Soldier
527,Lay Down Arms,['W'],1,Sorcery
528,Lightning Strike,['R'],2,Instant
529,Llanowar Wastes,,0,Land
530,March of Swirling Mist,['U'],1,Instant
531,Mirrex,,0,Land — Sphere
532,Mishra's Foundry,,0,Land
533,Mosswood Dreadknight,['G'],2,Creature — Human Knight
534,"Nissa, Ascended Animist",['G'],7,Legendary Planeswalker — Nissa
535,Obscura Storefront,,0,Land
536,Ossification,['W'],2,Enchantment — Aura
537,Preacher of the Schism,['B'],3,Creature — Vampire Cleric
538,Raffine's Tower,,0,Land — Plains Island Swamp
539,Razorverge Thicket,,0,Land
540,Restless Cottage,None,0,Land
541,Restless Vents,None,0,Land
542,Sanctuary Warden,['W'],6,Creature — Angel Soldier
543,Sentinel of the Nameless City,['G'],3,Creature — Merfolk Warrior Scout
544,Serra Paragon,['W'],4,Creature — Angel
545,Serum Snare,['U'],2,Instant
546,Skrelv's Hive,['W'],2,Enchantment
547,"Skrelv, Defector Mite",['W'],1,Legendary Artifact Creature — Phyrexian Mite
548,Sorin the Mirthless,['B'],4,Legendary Planeswalker — Sorin
549,"Squee, Dubious Monarch",['R'],3,Legendary Creature — Goblin Noble
550,The Celestus,,3,Legendary Artifact
551,The Eternal Wanderer,['W'],6,Legendary Planeswalker
552,The Irencrag,None,2,Legendary Artifact
553,The Restoration of Eiganjo,['W'],3,Enchantment — Saga
554,The Seedcore,,0,Land — Sphere
555,Thundering Raiju,['R'],4,Creature — Spirit
556,Trumpeting Carnosaur,['R'],6,Creature — Dinosaur
557,Venerated Rotpriest,['G'],1,Creature — Phyrexian Druid
558,Virtue of Persistence,['B'],7,Enchantment
559,Wedding Announcement,['W'],3,Enchantment
560,Witchstalker Frenzy,['R'],4,Instant
561,Yavimaya Coast,,0,Land
562,Ancestral Recall,['U'],1,Instant
563,Black Lotus,,0,Artifact
564,Coveted Jewel,,6,Artifact
565,Grim Monolith,,2,Artifact
566,"Karn, the Great Creator",,4,Legendary Planeswalker — Karn
